database,clusters,top_c,MAP@10,MAR@10,MAF1@10,cluster_time,query_time
Vector Database,0,0,0.2297,0.1496890959589684,0.1812576360681367,0.0,1.6569701166125015
Cluster Database,2,1,0.1409,0.09009040397610595,0.10990705849015607,1.3488028049468994,0.8895633331965656
Cluster Database,2,2,0.1685,0.10882920155983321,0.13224514663217368,1.3488028049468994,0.9954899250064045
Cluster Database,5,1,0.1409,0.09009040397610595,0.10990705849015607,1.1871249675750732,0.966560666798614
Cluster Database,5,2,0.1685,0.10882920155983321,0.13224514663217368,1.1871249675750732,0.9701254084007814
Cluster Database,5,3,0.1807,0.11686625500970366,0.14193633804051334,1.1871249675750732,1.0984373334096744
Cluster Database,5,4,0.18880000000000002,0.12253864358174395,0.14861820969011152,1.1871249675750732,1.7457205416169017
Cluster Database,5,5,0.1965,0.12757775747066433,0.1547099655258186,1.1871249675750732,1.3670486334012821
Cluster Database,10,1,0.1409,0.09009040397610595,0.10990705849015607,0.9377610683441162,0.837978416797705
Cluster Database,10,2,0.1685,0.10882920155983321,0.13224514663217368,0.9377610683441162,0.8590885000070557
Cluster Database,10,3,0.1807,0.11686625500970366,0.14193633804051334,0.9377610683441162,1.0606897665886208
Cluster Database,10,4,0.18880000000000002,0.12253864358174395,0.14861820969011152,0.9377610683441162,1.2848786750109866
Cluster Database,10,5,0.1965,0.12757775747066433,0.1547099655258186,0.9377610683441162,1.7350085000041873
Cluster Database,10,6,0.2018,0.13109459158254486,0.1589385303954256,0.9377610683441162,1.7745965332025662
Cluster Database,10,7,0.20640000000000003,0.13459272213127105,0.16293566428200765,0.9377610683441162,1.9858399749966338
Cluster Database,10,8,0.2094,0.13661087875277134,0.1653492405437914,0.9377610683441162,1.8678881250089034
Cluster Database,10,9,0.2107,0.1373596640146371,0.16630298882703592,0.9377610683441162,2.0674505583941936
Cluster Database,10,10,0.21280000000000002,0.13892088585952767,0.16810127404668418,0.9377610683441162,2.2255470915930347
Cluster Database,50,1,0.1409,0.09009040397610595,0.10990705849015607,1.4430019855499268,0.7699695334071294
Cluster Database,50,6,0.2018,0.13109459158254486,0.1589385303954256,1.4430019855499268,1.5610934749944136
Cluster Database,50,11,0.2135,0.13935193161116166,0.16863525311103547,1.4430019855499268,2.325256974995136
Cluster Database,50,17,0.21810000000000002,0.14228547244539907,0.1722181603479767,1.4430019855499268,3.1613485333975406
Cluster Database,50,22,0.2207,0.14386770585526407,0.1741876867989091,1.4430019855499268,3.8432342750020325
Cluster Database,50,28,0.2235,0.1456845385384048,0.17639143010831332,1.4430019855499268,5.416373816598207
Cluster Database,50,33,0.2253,0.14681562483257157,0.1777810877447631,1.4430019855499268,6.448220533202402
Cluster Database,50,39,0.227,0.1479877110306872,0.17916966031570508,1.4430019855499268,6.527247725008055
Cluster Database,50,44,0.2273,0.14822210482316925,0.17943489341151392,1.4430019855499268,7.2364472831832245
Cluster Database,50,50,0.2278,0.14848156758263198,0.17978080251244696,1.4430019855499268,8.482225908408873
Cluster Database,100,1,0.1409,0.09009040397610595,0.10990705849015607,1.4185900688171387,0.78805452499073
Cluster Database,100,12,0.2146,0.1400816935159236,0.16951273199651382,1.4185900688171387,2.7544078084174544
Cluster Database,100,23,0.221,0.14405433948307417,0.17441791855338554,1.4185900688171387,4.394040808221325
Cluster Database,100,34,0.22540000000000002,0.14692145816590493,0.17788980970223087,1.4185900688171387,5.634772691596299
Cluster Database,100,45,0.2275,0.14833321593428037,0.17957862793558782,1.4185900688171387,7.195177383208647
Cluster Database,100,56,0.22810000000000002,0.14865942069357335,0.18000459708628325,1.4185900688171387,8.885290049994364
Cluster Database,100,67,0.229,0.14919324736311984,0.18067616957396856,1.4185900688171387,10.246083875000476
Cluster Database,100,78,0.22960000000000003,0.14959054589791837,0.18115424928029888,1.4185900688171387,11.71302849999629
Cluster Database,100,89,0.2295,0.14953909595896842,0.18108539666999607,1.4185900688171387,13.271134608401917
Cluster Database,100,100,0.2297,0.1496890959589684,0.1812576360681367,1.4185900688171387,14.486417483398691
Cluster Database,200,1,0.1409,0.09009040397610595,0.10990705849015607,1.358290195465088,0.843844800000079
Cluster Database,200,23,0.221,0.14405433948307417,0.17441791855338554,1.358290195465088,4.320794150000438
Cluster Database,200,45,0.2275,0.14833321593428037,0.17957862793558782,1.358290195465088,6.826834974996745
Cluster Database,200,67,0.229,0.14919324736311984,0.18067616957396856,1.358290195465088,10.371966508403421
Cluster Database,200,89,0.2295,0.14953909595896842,0.18108539666999607,1.358290195465088,13.08925753319636
Cluster Database,200,111,0.2297,0.1496890959589684,0.1812576360681367,1.358290195465088,15.553877050010488
Cluster Database,200,133,0.2297,0.1496890959589684,0.1812576360681367,1.358290195465088,14.131048258207738
Cluster Database,200,155,0.2297,0.1496890959589684,0.1812576360681367,1.358290195465088,14.646572200022637
Cluster Database,200,177,0.2297,0.1496890959589684,0.1812576360681367,1.358290195465088,14.574036050005816
Cluster Database,200,200,0.2297,0.1496890959589684,0.1812576360681367,1.358290195465088,15.41222895840183
