n_neighbours,efConstruction,efSearch,Precision,Recall,F1,Query_time,Database size
2,10,10,0.009699999999999999,0.006258184659151142,0.007607931915859295,0.0005385084081906826,791023968
2,10,20,0.0148,0.009518448262712293,0.01158569270261737,0.0005396819415967912,791023968
2,10,50,0.018400000000000003,0.011965225403924083,0.01450080771695849,0.0005455476084025577,791023968
2,10,100,0.0242,0.015171726378906686,0.01865073300754445,0.0005579031249973922,791023968
2,50,10,0.0286,0.018407310600999184,0.02239860466203257,0.0005339587084017694,791023968
2,50,20,0.0443,0.02818845261415123,0.03445372071752897,0.0005405433000065386,791023968
2,50,50,0.0733,0.04704189975019024,0.05730624593506957,0.0005514338749926537,791023968
2,50,100,0.0974,0.06264148278912075,0.0762462371296539,0.0005739358081948011,791023968
2,100,10,0.030199999999999998,0.019466731079676967,0.023673604677671413,0.0005360367415938527,791023968
2,100,20,0.054200000000000005,0.03448046954204916,0.042147757196818306,0.0005404058499960229,791023968
2,100,50,0.0905,0.05853405993785857,0.0710888829920487,0.0005494019249919802,791023968
2,100,100,0.11070000000000002,0.07140909209501953,0.08681594536525454,0.0005722355831880122,791023968
2,200,10,0.0352,0.02279766775326945,0.027672764647328336,0.0005352091918000952,791023968
2,200,20,0.056900000000000006,0.036501689104855746,0.04447341648681847,0.0005386528166010975,791023968
2,200,50,0.0986,0.062394688542078164,0.07642632618455568,0.0005529636834049597,791023968
2,200,100,0.12530000000000002,0.08082451795478718,0.09826402215728873,0.0005729005000088364,791023968
5,10,10,0.054,0.03550244215214299,0.04283976682908465,0.0005524009333923458,791023968
5,10,20,0.0679,0.04386527088366333,0.05329834338434192,0.0005465279249940067,791023968
5,10,50,0.0924,0.059864893706673215,0.07265648757030825,0.0005678489916026593,791023968
5,10,100,0.11159999999999999,0.07278183798867909,0.08810469846856933,0.0005865158749977126,791023968
5,50,10,0.1297,0.08515250342783254,0.10280801497199754,0.0005445903415791691,791023968
5,50,20,0.15560000000000002,0.10085882000490798,0.122387152779252,0.000550557200005278,791023968
5,50,50,0.1794,0.11659130076867388,0.14133171686857754,0.0005738893250003457,791023968
5,50,100,0.1953,0.12688501032817256,0.1538286495194232,0.0005977317749988288,791023968
5,100,10,0.1462,0.09515588918895825,0.11528031113037489,0.0005449144500074909,791023968
5,100,20,0.16739999999999997,0.1088299185362929,0.13190554056932693,0.0005535968333948403,791023968
5,100,50,0.18890000000000004,0.1231973082515541,0.14913279232745635,0.0005724296999862417,791023968
5,100,100,0.20510000000000003,0.13387513964295328,0.16200474860599717,0.0005976354415994137,791023968
5,200,10,0.1469,0.09635516333328656,0.11637634572439853,0.0005495486499974505,791023968
5,200,20,0.1763,0.11547706403641826,0.1395490523345555,0.0005608559918124228,791023968
5,200,50,0.1967,0.12818301267584212,0.1552164786066883,0.0005784974500071257,791023968
5,200,100,0.2093,0.1365194543945981,0.16525109528502985,0.000607091216603294,791023968
8,10,10,0.09190000000000001,0.060160145932536234,0.07271750763218363,0.0005532952833920717,791023968
8,10,20,0.1119,0.07269424255554051,0.0881336885630925,0.0005527543418109418,791023968
8,10,50,0.13639999999999997,0.08860115438267678,0.10742342625711943,0.0005792228166013957,791023968
8,10,100,0.1556,0.10128510080981074,0.12270047298441575,0.0006015097667928785,791023968
8,50,10,0.1562,0.10166793572537751,0.12316794265740978,0.0005482787831919268,791023968
8,50,20,0.18230000000000002,0.118333895776454,0.1435118893984484,0.0005603422000072896,791023968
8,50,50,0.19740000000000005,0.1284313521636627,0.15561638712024692,0.0005852898499928415,791023968
8,50,100,0.206,0.1344429444290398,0.16270125144658334,0.0006166947334073484,791023968
8,100,10,0.1655,0.10731473396561261,0.130202560639907,0.0005494772332021966,791023968
8,100,20,0.19010000000000002,0.12396477660958714,0.15006906720250876,0.0005700009165797383,791023968
8,100,50,0.20810000000000003,0.13563472024581563,0.16422888710787914,0.0005902658083941787,791023968
8,100,100,0.2145,0.1399713913877112,0.1694007707370932,0.0006281106667825951,791023968
8,200,10,0.17830000000000001,0.11584986055299151,0.1404456224984487,0.0005536149331834167,791023968
8,200,20,0.1998,0.13054021906530824,0.1579095384936594,0.0005672834667842836,791023968
8,200,50,0.213,0.13892770676594612,0.1681686378891832,0.0005928684415994212,791023968
8,200,100,0.21730000000000002,0.1416741992025314,0.17152098148057088,0.0006509598415810615,791023968
16,10,10,0.1224,0.07874318620618996,0.09583388006748247,0.0005510649083880708,791023968
16,10,20,0.13440000000000005,0.08739127075083125,0.10591387793712527,0.0005628883415833115,791023968
16,10,50,0.15940000000000004,0.10360996116435475,0.12558785025847494,0.0005891092083882541,791023968
16,10,100,0.1758,0.11383647051614275,0.13819013524833373,0.000620009974995628,791023968
16,50,10,0.1835,0.11928659437603271,0.14458427469756335,0.0005532152666011824,791023968
16,50,20,0.19760000000000003,0.12859239139526663,0.1557967457856125,0.000571527833188884,791023968
16,50,50,0.2104,0.1370972937295501,0.16601723881710007,0.0005991780666168779,791023968
16,50,100,0.21569999999999998,0.14039614402098552,0.1700857971859527,0.0006410833417903632,791023968
16,100,10,0.1958,0.12731602614637072,0.15430047352814902,0.0005598712250124663,791023968
16,100,20,0.2073,0.13495228542201082,0.1634794562934053,0.0005864321832079439,791023968
16,100,50,0.217,0.14140805002376614,0.17123246452261598,0.0006116662916028872,791023968
16,100,100,0.2215,0.1442637374320464,0.1747270960513681,0.0006656617666129023,791023968
16,200,10,0.20110000000000003,0.13088426298607045,0.15856670463685896,0.0005666101499926299,791023968
16,200,20,0.2132,0.13903183320051368,0.16830725700749236,0.0005819990999996662,791023968
16,200,50,0.2209,0.14400986542685862,0.1743541750266509,0.0006185235916171223,791023968
16,200,100,0.2242,0.14610733329267014,0.176919337961515,0.0006831070666201413,791023968
